"id","post_id","channel_title","post_type","post_description","is_video","view_count","like_count","comments_count","hashtags","post_timestamp","post_datetime","post_date","post_time"
1,"3185858905270734580",GoPro,video,"Meet #GoProHERO12 Black 📷 Best-in-class image quality + video stabilization come together with a huge boost in battery performance to bring you the most versatile, capable, feature-packed HERO camera ever.

✔️ Up to 2x Longer Continuous Runtimes
✔️ New High Dynamic Range (HDR) Video + Photo
✔️ 5.3K60, 4K120, + 2.7K240 (8x slo-mo)
✔️ 27MP Photos with RAW Capture + 24.7MP Video Frame Grabs
✔️ Immersive 8:7 Sensor—Built for Simultaneous Vertical + Horizontal Capture
✔️ Emmy® Award-Winning #HyperSmooth 6.0 Stabilization with Improved AutoBoost + 360° Horizon Lock
✔️ New Vertical Capture Mode
✔️ Max Lens Mod 2.0 Ready for an Industry-Leading 177° FOV in 4K60
✔️ Rugged + Waterproof to 33ft (10m) Out of the Box
✔️ Large Front LCD + Rear Touch Screen
✔️ 10-bit Color + New GP-Log Encoding with LUT
✔️ New Bluetooth Audio Connectivity for Wireless Microphones
✔️ New Timecode Sync for Multi-Camera Editing
✔️ Night Effects Now with Still Images
✔️ 5 Digital Lenses
✔️ Updated Power Tools
✔️ Improved UI for Easy + Pro Controls
✔️ New Interval Photo Mode with Optimized Metering for Action + Selfies
✔️ Built-In Mounting Flexibility with new 1/4-20 Compatibility
✔️ Long-Lasting Enduro Cold-Weather Battery
✔️ Mod Ready
✔️ Webcam Mode + Live Streaming

Enhanced by a GoPro Subscription:
✔️ Auto-Highlight Videos Sent to Your Phone
✔️ Unlimited Cloud Backup at 100% Quality + Auto Uploads
✔️ No-Questions-Asked Camera Replacement
✔️ Up to 50% off at GoPro.com
✔️ 50% off Your First Year of GoPro Subscription When Bundled with HERO12 Black

Pre-order HERO12 Black + Max Lens Mod 2.0 at GoPro.com/HERO12. Link in bio.",1,790298,51993,1802,"GoProHERO12,HyperSmooth","1694005203","2023-09-06 13:00:03","2023-09-06","13:00:03"
2,"3190930741277707142",GoPro,video,"The new #GoProHERO12 Black is available now in stores + on GoPro.com 🎥

✔️ Up to 2x Longer Continuous Runtimes
✔️ New High Dynamic Range (HDR) Video + Photo
✔️ 5.3K60, 4K120, + 2.7K240 (8x slo-mo)
✔️ 27MP Photos with RAW Capture + 24.7MP Video Frame Grabs
✔️ Immersive 8:7 Sensor—Built for Simultaneous Vertical + Horizontal Capture
✔️ Emmy® Award-Winning #HyperSmooth 6.0 Stabilization with Improved AutoBoost + 360° Horizon Lock
✔️ New Vertical Capture Mode
✔️ Max Lens Mod 2.0 Ready for an Industry-Leading 177° FOV in 4K60
✔️ Rugged + Waterproof to 33ft (10m) Out of the Box
✔️ Large Front LCD + Rear Touch Screen
✔️ 10-bit Color + New GP-Log Encoding with LUT
✔️ New Bluetooth Audio Connectivity for Wireless Microphones
✔️ New Timecode Sync for Multi-Camera Editing
✔️ Night Effects Now with Still Images
✔️ 5 Digital Lenses
✔️ Updated Power Tools
✔️ Improved UI for Easy + Pro Controls
✔️ New Interval Photo Mode with Optimized Metering for Action + Selfies
✔️ Built-In Mounting Flexibility with new 1/4-20 Compatibility
✔️ Long-Lasting Enduro Cold-Weather Battery
✔️ Mod Ready
✔️ Webcam Mode + Live Streaming

Enhanced by a GoPro Subscription:
✔️ Auto-Highlight Videos Sent to Your Phone
✔️ Unlimited Cloud Backup at 100% Quality + Auto Uploads
✔️ No-Questions-Asked Camera Replacement
✔️ Up to 50% off at GoPro.com

HERO12 Black + Max Lens Mod 2.0 are available now at GoPro.com/HERO12. Link in bio.",1,86452,11234,156,"GoProHERO12,HyperSmooth","1694608994","2023-09-13 12:43:14","2023-09-13","12:43:14"
3,"3191746489247119071",GoPro,video,"#GoProHERO12 Black is The Official Camera of Fun—built for the laughs, the smiles, the nerves, the anticipation, + the celebration. If it’s fun, we’re there 😎 HERO12 Black is available now in stores + on GoPro.com.

#GoPro #HyperSmooth #GoProPOV #GoProSnow #GoProSurf #GoProMoto #GoProSelfie",1,63944,6532,72,"GoProHERO12,GoPro,HyperSmooth,GoProPOV,GoProSnow,GoProSurf,GoProMoto,GoProSelfie","1694706232","2023-09-14 15:43:52","2023-09-14","15:43:52"
4,"3207612591286365809",GoPro,image,"Photo of the Day: Relax, it's the weekend 🏝️ Snapped by GoPro Subscriber + vacation enjoyer @soultonic71 for a $500 GoPro Award.

@goproanz #GoProANZ #GoPro #GoProTravel #Tropics #CookIslands #Travel #TravelPhotography",0,,10504,39,"GoProANZ,GoPro,GoProTravel,Tropics,CookIslands,Travel,TravelPhotography","1696597241","2023-10-06 13:00:41","2023-10-06","13:00:41"
5,"3207068824419161300",GoPro,image,"Photo of the Day: Follow the leader 🚀 #GoProAwards recipient @erickk_3ee was ready for the Ultimate POV Challenge at GoPro.com/Awards.

We have $50,000 up for grabs until the end of the year. Submit your POV photos + videos to the Ultimate POV Challenge for a shot at the cash.

#GoPro #GoProPOV #GoProMoto #POV #BigAir #Motocross #FMX #Palmdale #California",0,,7056,19,"GoProAwards,GoPro,GoProPOV,GoProMoto,POV,BigAir,Motocross,FMX,Palmdale,California","1696532420","2023-10-05 19:00:20","2023-10-05","19:00:20"
6,"3206929457636776594",GoPro,video,"$50,000 for our community 💰 The “Ultimate POV Challenge” is here—show us life through your lens for the opportunity to earn a feature + your share of the cash. We’ll select our favorite POV content submitted to GoPro.com/Awards. Videos will score up to $1,000 + up to $500 for photos. 

#ProTip: HERO12 Black + Max Lens Mod 2.0 make the Ultimate POV Camera. The ultra-wide lens attachment unlocks an industry leading 177° FOV for impossibly immersive POV content.

🎬 @stu.telfer, @ztc770, @vagabond_of_the_sea, @stephanemailion, @jeremynicollin

#GoPro #GoProHERO12 #HyperSmooth #POV",1,178988,18147,85,"ProTip,GoPro,GoProHERO12,HyperSmooth,POV","1696515968","2023-10-05 14:26:08","2023-10-05","14:26:08"
7,"3206182284859021962",GoPro,video,"Happy World Animal Day 🐘 #GoProAwards recipient @jcpieri had his GoPro set up for Kenyan rush hour + was not disappointed with the footage when he returned to pick up his camera.

Reminder: Never approach wildlife. If you’re lucky enough that it approaches you or your GoPro, make sure you’re recording 🙌

#GoPro #Elephants #Elephant #Africa #Wildlife #WildlifePhotography",1,93807,20002,97,"GoProAwards,GoPro,Elephants,Elephant,Africa,Wildlife,WildlifePhotography","1696426969","2023-10-04 13:42:49","2023-10-04","13:42:49"
8,"3205639297159313238",GoPro,image,"Photo of the Day: Hole-y moly, what a view 🌊 Snapped by $500 GoPro Award recipient @tr_style10.

GoPro Subscribers earn 2x the cash on all awarded submissions. Xavier scored 2x $250 for submitting this to the Photo of the Day challenge at GoPro.com/Awards.

@goproit #GoProIT #GoPro #GoProTravel #OverUnder #Travel #Italy #TravelPhotography",0,,14503,32,"GoProIT,GoPro,GoProTravel,OverUnder,Travel,Italy,TravelPhotography","1696362007","2023-10-03 19:40:07","2023-10-03","19:40:07"
9,"3205497410775040108",GoPro,video,"Meet Hyphen. Shot on #GoPro
 
Hyphen is a revolutionary ‘cobot’ (collaborative robot), an automated assistant designed to work in tandem with Chipotle team members. Hyphen is being tuned to craft perfectly portioned burrito bowls and salads along an automated makeline, while a crew member makes burritos, tacos, and quesadillas above the line.
 
Chipotle’s investment in Hyphen originates from Cultivate Next, a $50 million fund targeting early-stage innovations that align with Chipotle’s mission to Cultivate a Better World.
 
Around 65% of Chipotle’s digital orders consist of bowls or salads, so with Hyphen on board, team members would be freed up to focus on guest experiences, while increasing the amount of digital orders during peak periods. 

Kewl beans",1,934127,30733,1566,GoPro,"1696345303","2023-10-03 15:01:43","2023-10-03","15:01:43"
10,"3204875258656204133",GoPro,image,"Photo of the Day: Your unemployed friends on a Monday 🌄 Snapped by @oskars_yg_'s #GoProFPV drone for a $500 GoPro Award.

@gopronordics #GoProNordics #GoPro #GoProAwards #Sunrise #Silhouette #Norway #Fjords",0,,17546,40,"GoProFPV,GoProNordics,GoPro,GoProAwards,Sunrise,Silhouette,Norway,Fjords","1696270927","2023-10-02 18:22:07","2023-10-02","18:22:07"
